********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [baqir96] in contest [SPOJ].  DoI: 2016-11-22 05:44:30.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
|---------|---------------------|-----------|-----------|-------|--------|-----|
| 17888479 | 2016-10-09 07:54:15 |  DCEPCA03 |        AC |  0.00 |   2912 | C++ |
| 17888475 | 2016-10-09 07:53:30 |  DCEPCA03 |        WA |  0.00 |   2912 | C++ |
| 17888437 | 2016-10-09 07:41:28 |  DCEPCA03 |       TLE | -1.00 |   2912 | C++ |
| 17387772 | 2016-07-28 23:48:49 |       MUL |        AC |  1.22 |   3480 | C++ |
| 17387742 | 2016-07-28 23:43:05 |       MUL |        WA |  0.00 |   3468 | C++ |
| 17387734 | 2016-07-28 23:40:46 |       MUL |        CE |  0.00 |      0 | C++ |
| 17379594 | 2016-07-27 21:15:24 |     COINS |        AC |  0.00 |   3420 | C++ |
| 17379590 | 2016-07-27 21:15:04 |     COINS |        WA |  0.01 |  11232 | C++ |
| 17379499 | 2016-07-27 21:01:45 |     COINS |        RE |  0.01 |  11232 | C++ |
| 17379000 | 2016-07-27 19:54:12 |    FARIDA |        AC |  0.08 |   3572 | C++ |
| 17378993 | 2016-07-27 19:52:52 |    FARIDA |        WA |  0.08 |   3572 | C++ |
| 17376023 | 2016-07-27 12:40:47 |     ALIEN |        AC |  0.23 |   3732 | C++ |
| 17376020 | 2016-07-27 12:40:20 |     ALIEN |        WA |  0.09 |   3736 | C++ |
| 17375973 | 2016-07-27 12:34:28 |     ALIEN |        WA |  0.10 |   3732 | C++ |
| 17375890 | 2016-07-27 12:24:47 |     ALIEN |        WA |  0.09 |   3416 | C++ |
| 17374892 | 2016-07-27 10:25:00 |   FACTCG2 |        AC |  1.66 |  42528 | C++ |
| 17374891 | 2016-07-27 10:24:27 |   FACTCG2 |        AC |  1.65 |  42480 | C++ |
| 17374409 | 2016-07-27 09:27:05 |   FACTCG2 |        RE |  0.00 |   3424 | C++ |
| 17374271 | 2016-07-27 09:02:36 |   FACTMUL |        AC |  0.39 |   9128 | PYT |
| 17371481 | 2016-07-26 22:49:08 |   SYNC13C |        AC |  0.00 |   3464 | C++ |
| 17371341 | 2016-07-26 22:33:50 |  UPDATEIT |        AC |  0.15 |   4124 | C++ |
| 17371073 | 2016-07-26 22:02:45 |       RLE |        AC |  0.00 |   3436 | C++ |
| 17370897 | 2016-07-26 21:43:07 |   MKEQUAL |        AC |  0.05 |   3728 | C++ |
| 17370470 | 2016-07-26 20:49:56 |     PIHU1 |        AC |  0.00 |   2880 | C++ |
| 17370463 | 2016-07-26 20:47:48 |     PIHU1 |        WA |  0.00 |   2828 | C++ |
| 17370344 | 2016-07-26 20:33:09 |     PIHU1 |        WA |  0.00 |   2876 | C++ |
| 17368181 | 2016-07-26 15:24:20 |   MAIN12A |        AC |  0.00 |   7372 | C++ |
| 17363389 | 2016-07-25 21:05:48 |  IEEEBGAM |        AC |  0.00 |   3416 | C++ |
| 17363274 | 2016-07-25 20:40:58 |  IITKWPCA |        AC |  0.06 |   9080 | PYT |
| 17363179 | 2016-07-25 20:24:41 |  IITKWPCB |        AC |  0.00 |   3416 | C++ |
| 17363151 | 2016-07-25 20:19:57 |  IITKWPCB |        WA |  0.00 |   3416 | C++ |
| 17362993 | 2016-07-25 19:59:36 |  IITWPC4B |        AC |  0.04 |   3416 | C++ |
| 17362989 | 2016-07-25 19:58:58 |  IITWPC4B |        CE |  0.00 |      0 | C++ |
| 17362975 | 2016-07-25 19:56:56 |  IITWPC4B |        WA |  0.04 |   3416 | C++ |
| 17362051 | 2016-07-25 17:14:47 |     SQRT2 |      3712 |  0.00 |   3416 | C++ |
| 17360135 | 2016-07-25 12:09:31 |   ACPC11B |        AC |  0.04 |  11280 | C++ |
| 17360132 | 2016-07-25 12:08:55 |   ACPC11B |        WA |  0.01 |   3416 | C++ |
| 17359714 | 2016-07-25 11:19:39 |       MUL |        AC |  0.90 |   9080 | PYT |
| 17359250 | 2016-07-25 10:03:30 |   ABCPATH |        AC |  0.00 |   3468 | C++ |
| 17359245 | 2016-07-25 10:02:50 |   ABCPATH |        CE |  0.00 |      0 | C++ |
| 17355918 | 2016-07-24 20:33:59 |  ICANDIES |        AC |  0.00 |   3464 | C++ |
| 17355532 | 2016-07-24 19:31:52 |    HOTELS |        AC |  0.08 |   4516 | C++ |
| 17353448 | 2016-07-24 13:52:16 |  ARRAYSUB |        AC |  0.02 |   3724 | C++ |
| 17349575 | 2016-07-23 21:51:49 |       EKO |        AC |  0.54 |  11152 | C++ |
| 17347938 | 2016-07-23 16:54:15 |   MAY99_3 |        AC |  0.00 |   3456 | C++ |
| 17347919 | 2016-07-23 16:52:08 |   MAY99_3 |        WA |  0.00 |   3456 | C++ |
| 17346349 | 2016-07-23 12:37:46 |      IKRI |        AC |  0.06 |   3464 | C++ |
| 17346177 | 2016-07-23 12:15:53 |     MAXLN |        AC |  0.00 |   3408 | C++ |
| 17346163 | 2016-07-23 12:13:58 |     MAXLN |        WA |  0.00 |   3412 | C++ |
| 17345067 | 2016-07-23 10:17:21 |   CUTCAKE |        AC |  0.00 |   3412 | C++ |
| 17344892 | 2016-07-23 09:56:18 |   CUTCAKE |        WA |  0.00 |   3456 | C++ |
| 17344588 | 2016-07-23 09:15:13 |   GEOPROB |        AC |  0.01 |   8976 | PYT |
| 17341092 | 2016-07-22 20:54:33 |  HACKRNDM |        AC |  0.13 |   6576 | C++ |
| 17340990 | 2016-07-22 20:28:40 |     OPBIT |        AC |  0.00 |   3408 | C++ |
| 17340350 | 2016-07-22 18:22:03 |   GOPI_SW |        AC |  0.05 |  11232 | C++ |
| 17340291 | 2016-07-22 18:15:39 |   GOPI_SW |        WA |  0.05 |  11232 | C++ |
| 17340229 | 2016-07-22 18:08:03 |   GOPI_SW |       TLE | -1.00 |   3456 | C++ |
| 17339895 | 2016-07-22 17:25:38 |       GOO |        AC |  0.00 |   3408 | C++ |
| 17339872 | 2016-07-22 17:22:43 |       GOO |        WA |  0.00 |   3412 | C++ |
| 17338812 | 2016-07-22 14:57:31 |     OLOLO |        AC |  0.14 |   3416 | C++ |
| 17338768 | 2016-07-22 14:48:44 |     OLOLO |        WA |  0.07 |   3412 | C++ |
| 17338543 | 2016-07-22 14:04:30 |       CMG |        AC |  0.44 |   3540 | C++ |
| 17338517 | 2016-07-22 13:59:24 |       CMG |       TLE | -1.00 |   3532 | C++ |
| 17338312 | 2016-07-22 13:16:37 |       PON |        AC |  0.24 |   3416 | C++ |
| 17336339 | 2016-07-22 09:26:44 |      CAM5 |        AC |  0.11 |   5488 | C++ |
| 17332767 | 2016-07-21 22:14:34 |  RLCIPHER |        AC |  0.45 |   3408 | C++ |
| 17332195 | 2016-07-21 20:07:15 |       GGD |        AC |  0.00 |   3412 | C++ |
| 17332093 | 2016-07-21 19:27:30 |       GGD |        WA |  0.00 |   3460 | C++ |
| 17331964 | 2016-07-21 19:09:16 |       GGD |        WA |  0.00 |   3412 | C++ |
| 17331626 | 2016-07-21 18:13:47 |       DOL |        AC |  0.00 |   3412 | C++ |
| 17330345 | 2016-07-21 15:19:45 |  ANARC08H |        RE |  0.00 |  11520 | C++ |
| 17330285 | 2016-07-21 15:11:21 |  ANARC08H |        AC |  0.06 |   3412 | C++ |
| 17329930 | 2016-07-21 14:13:08 |  UCV2013A |        AC |  0.00 |   3412 | C++ |
| 17329718 | 2016-07-21 13:39:33 |  UCV2013A |        AC |  0.01 |   3408 | C++ |
| 17329710 | 2016-07-21 13:38:24 |  UCV2013A |        WA |  0.20 |   3408 | C++ |
| 17329403 | 2016-07-21 12:45:24 |  ENIGMATH |        AC |  0.00 |   3408 | C++ |
| 17328342 | 2016-07-21 10:20:51 |   BUSYMAN |        AC |  0.10 |   3836 | C++ |
| 17328160 | 2016-07-21 09:55:10 |   BUSYMAN |        WA |  0.02 |   3532 | C++ |
| 17327755 | 2016-07-21 09:00:47 |   IDC1948 |        AC |  0.00 |   3416 | C++ |
| 17323540 | 2016-07-20 19:24:35 |  LENGFACT |        AC |  0.00 |   3412 | C++ |
| 17323516 | 2016-07-20 19:20:59 |  LENGFACT |        WA |  0.04 |   3408 | C++ |
| 17323498 | 2016-07-20 19:18:22 |  LENGFACT |        WA |  0.02 |   3408 | C++ |
| 17323491 | 2016-07-20 19:17:01 |  LENGFACT |        WA |  0.04 |   3408 | C++ |
| 17322025 | 2016-07-20 16:16:19 |  LQDCANDY |        AC |  0.00 |   3408 | C++ |
| 17321900 | 2016-07-20 15:54:26 |     HAP01 |        AC |  0.08 |   3408 | C++ |
| 17321790 | 2016-07-20 15:38:49 |     HAP01 |        WA |  0.07 |   3408 | C++ |
| 17319468 | 2016-07-20 10:21:07 | MADODDSUM |        AC |  0.00 |   3456 | C++ |
| 17319408 | 2016-07-20 10:12:15 |      HMBY |        AC |  0.00 |   3408 | C++ |
| 17319057 | 2016-07-20 09:21:10 |   AGGRCOW |        AC |  0.04 |   3728 | C++ |
| 17318738 | 2016-07-20 08:22:51 |      RPLD |        AC |  0.14 |   5780 | C++ |
| 17316873 | 2016-07-20 00:01:14 |   MANGOES |        AC |  0.05 |   3408 | C++ |
| 17316498 | 2016-07-19 22:22:48 |  TAP2013G |        AC |  0.33 |   3580 | C++ |
| 17316006 | 2016-07-19 20:35:29 |       NGM |        AC |  0.00 |   3456 | C++ |
| 17316002 | 2016-07-19 20:34:50 |   FIBOSUM |        AC |  0.00 |   3456 | C++ |
| 17314280 | 2016-07-19 14:58:13 |  DCEPC11B |       TLE | -1.00 |   2868 | C++ |
| 17314131 | 2016-07-19 14:33:37 |   DIVFIBS |       TLE | -1.00 |   4192 | C++ |
| 17313733 | 2016-07-19 13:10:56 |  CADYDIST |        AC |  0.09 |   3580 | C++ |
| 17313711 | 2016-07-19 13:07:43 |  CADYDIST |        WA |  0.09 |   3580 | C++ |
| 17313667 | 2016-07-19 12:58:31 |    TIPTOP |        AC |  0.53 |   2820 | C++ |
| 17312442 | 2016-07-19 08:53:41 |    NINJA4 |        AC |  0.00 |   3408 | C++ |
| 17312402 | 2016-07-19 08:38:22 |    NINJA4 |       TLE | -1.00 |   3456 | C++ |
| 17312369 | 2016-07-19 08:32:08 |    NINJA3 |        AC |  0.00 |   3456 | C++ |
| 17310085 | 2016-07-18 20:38:21 |   PCPC12J |        AC |  0.03 |   3408 | C++ |
| 17310023 | 2016-07-18 20:25:16 |   PCPC12J |        WA |  0.05 |   3408 | C++ |
| 17309818 | 2016-07-18 19:42:54 |    COMDIV |        AC |  0.44 |   2116 |   C |
| 17309815 | 2016-07-18 19:42:39 |    COMDIV |        WA |  0.00 |   2108 |   C |
| 17309695 | 2016-07-18 19:21:35 |    COMDIV |       TLE | -1.00 |   3456 | C++ |
| 17309690 | 2016-07-18 19:20:37 |    COMDIV |        CE |  0.00 |      0 | C++ |
| 17309672 | 2016-07-18 19:16:54 |    COMDIV |       TLE | -1.00 |   3408 | C++ |
| 17308616 | 2016-07-18 16:29:11 |   POWERUP |        AC |  0.03 |   3408 | C++ |
| 17307280 | 2016-07-18 12:15:22 |    DANGER |        AC |  0.00 |   3460 | C++ |
| 17307225 | 2016-07-18 12:01:58 |    DANGER |        RE |  0.00 |  11520 | C++ |
| 17307208 | 2016-07-18 11:58:14 |    DANGER |        WA |  0.00 |   3456 | C++ |
| 17307202 | 2016-07-18 11:56:55 |    DANGER |        WA |  0.00 |   3412 | C++ |
